source,target,comment
劍鬥士,Warrior,Class name
神射手,Archer,Class name
大法師,Mage,Class name
夜行者,Assassin,Class name
暗騎士,Knight,Class name
白魔導,Priest,Class name
召喚師,Summoner,Class name
咒術師,Conjurer,Class name
蠱毒師,Shaman,Class name
武士,Samurai,Class name
追獵者,unter,Class name
馴獸師,Beast tamer,Class name
職業,class,Player attribute
職業等級,class level,Player attribute
力量,strength,Player attribute
敏捷,agile,Player attribute
智慧,intelligence,Player attribute
感知,wisdom,Player attribute
體質,constitution,Player attribute
劍,sword,Weapon
弓,bow,Weapon
法杖,staff,Weapon
吹箭筒,quiver,Weapon
箭矢,arrow,Weapon
扇子,fan,Weapon
戰錘,hammer,Weapon
法書,spellbook,Weapon
指揮杖,wand,Weapon
標槍,spear,Weapon
鐮刀,scythe,Weapon
匕首,dagger,Weapon
寶珠,orb,accessories
生命值,HP,Player attribute
魔力值,MP,Player attribute
最大生命,max HP,Player attribute
最大魔力,max MP,Player attribute
防禦力,defense,Player attribute
物理近戰攻擊力,physical melee attack,Player attribute
魔法攻擊力,magic attack,Player attribute
物理遠程攻擊力,physical ranged attack,Player attribute
洞察力,insight,Player attribute
生命回復,HP regeneration,Player attribute
魔力回復,MP regeneration,Player attribute
暴擊率,Critical rate,Player attribute
迴避率,avoidance rate,Player attribute
手藝,craft ability,Player attribute
造成的傷害,damage%,Player attribute
受到的傷害減少,damage reduction%,Player attribute
掉寶率,drop rate,Player attribute
恢復量,recovery%,Player attribute
穿透值,ignore monster defense,Player attribute
穿透防禦,monster defense,Player attribute
血性值,life steal slot,Player attribute
吸血,life steal,Player attribute
臨時生命,temporary HP,Player attribute
自然恢復,natural recovery,Player attribute
怒氣值,rage points,Player attribute
耐力值,stamina points,Player attribute
意志力,willpower,Player attribute
技能冷卻,skill cooldown,Player attribute
冷卻時間,cooldown,Player attribute
持續時間,duration,Player attribute
最終傷害,final damage%,Player attribute
職業增幅,class amplification%,Player attribute
忍法,Ninja style,Skill
暗器,Assassin style,Skill
短刃,Dagger style,Skill
靈魂蛋,soul Egg,Item
符咒,Phylactery,Skill
魔靈值,spirit Points,Skill
無敵,invincible,Effect
層數,layers,Effect
魔王,BOSS,Tags
首領,BOSS,Tags
魔王生物,BOSS,Tags
攻擊段數,attack hits,Skill
段數,attack hits,Skill
備彈,ammo,Skill
狩獵點,hunting point,Skill
韌性防禦,Tenacity defense,attribute
嘲諷,taunt,Effect
架勢,Stance,Skill
太刀,Katana,Skill
殘月架勢,Crescent Moon Stance,Skill
旭日架勢,Rising Sun Stance,Skill
劍氣,Ken-ki points,Skill
精通,mastery,Player attribute
卷軸,scroll,Item
魔法能,mana energy,energy
暗能量,dark energy,energy
乙太能量,ether energy,energy
拉普達,Laputa,proper noun
禁忌魔法,forbidden technology,proper noun
靈魂能量,soul energy,energy
金屬能量,metal energy,energy
遠古銩,ancient thulium,Technology 
地下城,dungeon,Location
副本,dungeon,Location
地城,dungeon,Location
艾莉西亞,Alicia,Name
天界,Aether,Location
古物,relic,Item
勳章,Title,fashion
變身粉,transformation powder,fashion
披風,cloak,fashion
翅膀,wings,fashion
顆粒效果,particle effect,fashion
字體顏色,font color,fashion
頭部裝飾,headgear,fashion
尾部裝飾,tailgear,fashion
工具造型,tool shape,fashion
傷害字型,damage font style,fashion
寶藏,treasure,Item
收藏箱,collection box,facilities
拉普達科技,Laputa technology,Technology 
圖騰,totem,facilities
咒語水晶,spell crystal,facilities
動能水晶,kinetic crystal,facilities
出貨箱,shipping box,facilities
禁忌魔法科技,forbidden magic technology,Technology 
黑魔法,black magic,Technology 
生產系統,production system,System
屬性道具,attribute item,Item
獎勵箱,reward box,Item
蜥蜴人,lizardman,Race
人族,human,Race
精靈族,elf,Race
龍族,dragon,Race
龍人,dragonborn,Race
娜迦,Naga,Race
矮人,dwarf,Race
半獸人,half-orc,Race
獸族,beastman,Race
翼族,winged,Race
魔族,demon,Race
祭壇符文石,altar rune stone,Item
符文石,rune stone,Item
白金,white gold,Item
托米爾,Tomil,Name
瑪夏達巴,Masadabah,Name
薔薇十字軍,Rose Crusader,organizations
阿斯翠德,Astrid,Name
草莓龍,Strawberry dragon,Name
和平草莓龍,Peaceful Strawberry Dragon,Name
和平守護龍,Peaceful Guardian Dragon,Name
和平冰雪狐,Peaceful Snow Fox,Name
mk456766,mk456766,Name
阿洛,Rluo,Name
紅月,Redmoon,Name
亞洛赫,Anok,Name
傳說生物,legendary creature,Tags
魔法鋼,magic steel,Item
複製者,replicator,Item
黑暗鋼,dark steel,Item
暗血鋼,dark blood steel,Item
紅連金屬,red chain metal,Item
無限鋼,infinite steel,Item
奧哈利爾鋼,O'Halloran steel,Item
宇宙能量,cosmic energy,Item
符文鋼,rune steel,Item
奧鋼,mystery steel,Item
黑洞頻率錠,black hole frequency ingot,Item
碧鋼,green steel,Item
山銅,mountain copper,Item
秘銀,mysterious silver,Item
聖銅,holy copper,Item
亥銀,Hai silver,Item
精金,fine gold,Item
硫銅,sulfur copper,Item
虹鋼,rainbow steel,Item
聖魂,holy soul,Item
炙焰金,blazing gold,Item
古代鐵,ancient iron,Item
聖器,holy vessel,System
精鑄,forging,production technology
採礦,mining,production technology
寶石工藝,gemcraft,production technology
農耕,farming,production technology
釣魚,fishing,production technology
烹飪,cooking,production technology
養蜂,beekeeping,production technology
裁縫,tailoring,production technology
馴龍,dragon taming,production technology
釀造,brewing,production technology
合金結晶,alloy crystallization,Item
魔藥,potion,Item
寶玉,enhanced gem,Item
強化卷,enhancement scroll,Item
星等強化,star enhancement,System
道具品質,item quality,System
垃圾,junk,Item quality
普通,normal,Item quality
稀有,rare,Item quality
精品,fine,Item quality
罕見,epic,Item quality
絕佳,superior,Item quality
史詩,mythical,Item quality
上古,ancient,Item quality
