key,zh_TW
劍鬥士,劍鬥士
神射手,神射手
大法師,大法師
夜行者,夜行者
暗騎士,暗騎士
白魔導,白魔導
召喚師,召喚師
咒術師,咒術師
蠱毒師,蠱毒師
武士,武士
追獵者,追獵者
馴獸師,馴獸師
職業,職業
職業等級,職業等級
力量,力量
敏捷,敏捷
智慧,智慧
感知,感知
體質,體質
劍,劍
弓,弓
法杖,法杖
吹箭筒,吹箭筒
箭矢,箭矢
扇子,扇子
戰錘,戰錘
法書,法書
指揮杖,指揮杖
標槍,標槍
鐮刀,鐮刀
匕首,匕首
寶珠,寶珠
生命值,生命值
魔力值,魔力值
最大生命,最大生命
最大魔力,最大魔力
防禦力,防禦力
物理近戰攻擊力,物理近戰攻擊力
魔法攻擊力,魔法攻擊力
物理遠程攻擊力,物理遠程攻擊力
洞察力,洞察力
生命回復,生命回復
魔力回復,魔力回復
暴擊率,暴擊率
迴避率,迴避率
手藝,手藝
造成的傷害,造成的傷害
受到的傷害減少,受到的傷害減少
掉寶率,掉寶率
恢復量,恢復量
穿透值,穿透值
穿透防禦,穿透防禦
血性值,血性值
吸血,吸血
臨時生命,臨時生命
自然恢復,自然恢復
怒氣值,怒氣值
耐力值,耐力值
意志力,意志力
技能冷卻,技能冷卻
冷卻時間,冷卻時間
持續時間,持續時間
最終傷害,最終傷害
職業增幅,職業增幅
忍法,忍法
暗器,暗器
短刃,短刃
靈魂蛋,靈魂蛋
符咒,符咒
魔靈值,魔靈值
無敵,無敵
層數,層數
魔王,魔王
首領,首領
魔王生物,魔王生物
段數,段數
攻擊段數,攻擊段數
備彈,備彈
狩獵點,狩獵點
韌性防禦,韌性防禦
嘲諷,嘲諷
架勢,架勢
太刀,太刀
殘月架勢,殘月架勢
旭日架勢,旭日架勢
劍氣,劍氣
精通,精通
卷軸,卷軸
魔法能,魔法能
暗能量,暗能量
乙太能量,乙太能量
拉普達,拉普達
禁忌魔法,禁忌魔法
靈魂能量,靈魂能量
金屬能量,金屬能量
遠古銩,遠古銩
地城,地城
地下城,地下城
副本,副本
艾莉西亞,艾莉西亞
天界,天界
古物,古物
勳章,勳章
變身粉,變身粉
披風,披風
翅膀,翅膀
顆粒效果,顆粒效果
字體顏色,字體顏色
頭部裝飾,頭部裝飾
尾部裝飾,尾部裝飾
工具造型,工具造型
傷害字型,傷害字型
寶藏,寶藏
收藏箱,收藏箱
拉普達科技,拉普達科技
圖騰,圖騰
咒語水晶,咒語水晶
動能水晶,動能水晶
出貨箱,出貨箱
禁忌魔法科技,禁忌魔法科技
黑魔法,黑魔法
生產系統,生產系統
屬性道具,屬性道具
獎勵箱,獎勵箱
蜥蜴人,蜥蜴人
人族,人族
精靈族,精靈族
龍族,龍族
龍人,龍人
娜迦,娜迦
矮人,矮人
半獸人,半獸人
獸族,獸族
翼族,翼族
魔族,魔族
祭壇符文石,祭壇符文石
符文石,符文石
白金,白金
托米爾,托米爾
瑪夏達巴,瑪夏達巴
薔薇十字軍,薔薇十字軍
阿斯翠德,阿斯翠德
草莓龍,草莓龍
和平草莓龍,和平草莓龍
和平守護龍,和平守護龍
和平冰雪狐,和平冰雪狐
mk456766,mk456766
阿洛,阿洛
紅月,紅月
亞洛赫,亞洛赫
傳說生物,傳說生物
魔法鋼,魔法鋼
複製者,複製者
黑暗鋼,黑暗鋼
暗血鋼,暗血鋼
紅連金屬,紅連金屬
無限鋼,無限鋼
奧哈利爾鋼,奧哈利爾鋼
宇宙能量,宇宙能量
符文鋼,符文鋼
奧鋼,奧鋼
黑洞頻率錠,黑洞頻率錠
碧鋼,碧鋼
山銅,山銅
秘銀,秘銀
聖銅,聖銅
亥銀,亥銀
精金,精金
硫銅,硫銅
虹鋼,虹鋼
聖魂,聖魂
炙焰金,炙焰金
古代鐵,古代鐵
聖器,聖器
精鑄,精鑄
採礦,採礦
寶石工藝,寶石工藝
農耕,農耕
釣魚,釣魚
烹飪,烹飪
養蜂,養蜂
裁縫,裁縫
馴龍,馴龍
釀造,釀造
合金結晶,合金結晶
魔藥,魔藥
寶玉,寶玉
強化卷,強化卷
星等強化,星等強化
道具品質,道具品質
垃圾,垃圾
普通,普通
稀有,稀有
精品,精品
罕見,罕見
絕佳,絕佳
史詩,史詩
上古,上古
神話,神話
傳奇,傳奇
聖品,聖品
超凡,超凡
創世,創世
魔性,魔性
混沌,混沌
絕世,絕世
璀璨,璀璨
瑰寶,瑰寶
神器,神器
龍神,龍神
靈力,靈力
靈魂繼承,靈魂繼承
賽季,賽季
鉑金,鉑金
魔法金屬,魔法金屬
護石,護石
末日城,末日城
祈願神壇,祈願神壇
聖物,聖物
許願之星,許願之星
聖物點數,聖物點數
傳說聖物點數,傳說聖物點數
瞬身術,瞬身術
戰鬥思想,戰鬥思想
黑暗力量,黑暗力量
劍氣波,劍氣波
戰鬥防守,戰鬥防守
連環斬,連環斬
玄月斬,玄月斬
幻影劍,幻影劍
劍術精通,劍術精通
劍術大師,劍術大師
怒氣爆發,怒氣爆發
狂暴劍斬,狂暴劍斬
血戰誓約,血戰誓約
龍捲劍斬,龍捲劍斬
麻痺陷阱,麻痺陷阱
穿空箭,穿空箭
五重矢,五重矢
爆裂箭,爆裂箭
閃雷矢,閃雷矢
弓術精通,弓術精通
蓄力射擊,蓄力射擊
連成一氣,連成一氣
破甲強襲,破甲強襲
風神祝福,風神祝福
暴風箭雨,暴風箭雨
寒冰咒,寒冰咒
魔力律動,魔力律動
魔焰彈,魔焰彈
魔法箭,魔法箭
魔力盾,魔力盾
法力精通,法力精通
魔力存儲,魔力存儲
冰柱連擊,冰柱連擊
元素爆裂,元素爆裂
無盡魔力,無盡魔力
萬雷殞落,萬雷殞落
突刺術,突刺術
短刃:飛毒刃,短刃:飛毒刃
暗器:連環鏢,暗器:連環鏢
忍法:強雷襲,忍法:強雷襲
噬血術,噬血術
黑夜契約,黑夜契約
三位一體,三位一體
暗器:匕首劍舞,暗器:匕首劍舞
短刃:十字連斬,短刃:十字連斬
孤注一擲,孤注一擲
忍法:刀刃迷宮,忍法:刀刃迷宮
戰吼,戰吼
自我復原,自我復原
犧牲術,犧牲術
旋風斧,旋風斧
動地鎚,動地鎚
防禦體系,防禦體系
驚奇骨骼,驚奇骨骼
暗影巨鎚,暗影巨鎚
煉獄之炎,煉獄之炎
大地力量,大地力量
天罡神盾,天罡神盾
治癒之光,治癒之光
戰意,戰意
聖光矢,聖光矢
神聖祈禱,神聖祈禱
癒療之泉,癒療之泉
神聖經典,神聖經典
聖光灼燒,聖光灼燒
光耀直擊,光耀直擊
神聖領域,神聖領域
神聖烙印,神聖烙印
真理之門,真理之門
魔界召喚,魔界召喚
魔界召回,魔界召回
著魔,著魔
還魂術,還魂術
幻影悅靈,幻影悅靈
生命聖火,生命聖火
心靈水滴,心靈水滴
引導之矢,引導之矢
聖獸守護,聖獸守護
魔法導彈,魔法導彈
誓約之龍,誓約之龍
符咒充能,符咒充能
符咒解散,符咒解散
閃雷符,閃雷符
自然晨光,自然晨光
風速符,風速符
心靈之火,心靈之火
符咒精通,符咒精通
靈轉符,靈轉符
式神斬,式神斬
守靈結界,守靈結界
六壬神域,六壬神域
蠱毒爆,蠱毒爆
中和毒素,中和毒素
烈性毒箭,烈性毒箭
霧療,霧療
酸性毒,酸性毒
致命劇毒,致命劇毒
上古碑文,上古碑文
先祖圖騰,先祖圖騰
沼氣毒火,沼氣毒火
